fuel_purchase_id,trip_id,truck_id,driver_id,purchase_date,location_city,location_state,gallons,price_per_gallon,total_cost,fuel_card_number
FUEL00000001,TRIP00051284,TRK00045,DRV00102,2023-10-22 05:00:00,Columbus,MN,131.6,3.399,447.31,FC567161
FUEL00000002,TRIP00073723,TRK00013,,2024-08-04 08:00:00,New York,AZ,139.9,3.18,444.88,FC717910
FUEL00000003,TRIP00018286,TRK00024,DRV00142,2022-08-23 13:00:00,Seattle,NE,189.3,3.804,720.1,FC912816
FUEL00000004,TRIP00008465,TRK00018,DRV00047,2022-04-20 00:00:00,Memphis,NY,130.7,3.579,467.78,FC776357
FUEL00000005,TRIP00069700,TRK00054,,2024-06-13 09:00:00,Columbus,AZ,185.3,3.422,634.1,FC391024
FUEL00000006,TRIP00062650,TRK00012,DRV00104,2024-03-18 23:00:00,Dallas,NY,182.2,3.494,636.61,FC277504
FUEL00000007,TRIP00000851,TRK00072,DRV00127,2022-01-11 21:00:00,Miami,TX,146.3,3.914,572.62,FC256663
FUEL00000008,TRIP00012033,TRK00073,DRV00084,2022-06-06 00:00:00,Phoenix,PA,113.3,4.471,506.56,FC543608
FUEL00000009,TRIP00023596,TRK00101,DRV00080,2022-10-28 02:00:00,Miami,NC,127.0,4.445,564.51,FC484857
FUEL00000010,TRIP00037859,TRK00085,DRV00002,2023-04-30 09:00:00,Dallas,MO,134.7,3.357,452.19,FC753360
FUEL00000011,TRIP00027109,TRK00103,DRV00038,2022-12-12 07:00:00,Denver,TN,194.4,4.06,789.26,FC248220
FUEL00000012,TRIP00079405,,DRV00085,2024-10-16 19:00:00,Los Angeles,WI,75.4,3.988,300.7,FC535781
FUEL00000013,TRIP00080145,TRK00097,DRV00089,2024-10-25 13:00:00,Atlanta,TN,153.5,3.301,506.7,FC282038
FUEL00000014,TRIP00016414,TRK00090,DRV00024,2022-07-31 09:00:00,Kansas City,FL,122.6,4.725,579.28,FC168232
FUEL00000015,TRIP00048418,TRK00076,DRV00082,2023-09-14 10:00:00,Dallas,NE,97.4,4.301,418.92,FC649134
FUEL00000016,TRIP00052945,TRK00113,DRV00016,2023-11-12 02:00:00,Minneapolis,NY,113.4,3.679,417.2,FC641499
FUEL00000017,TRIP00026752,TRK00106,DRV00138,2022-12-07 17:00:00,Seattle,PA,167.1,3.447,575.99,FC592702
FUEL00000018,TRIP00022232,TRK00057,DRV00078,2022-10-13 14:00:00,Portland,OR,137.4,3.827,525.83,FC765945
FUEL00000019,TRIP00067025,TRK00007,DRV00121,2024-05-13 07:00:00,Denver,WI,92.1,3.885,357.81,FC302982
FUEL00000020,TRIP00074732,TRK00086,DRV00063,2024-08-19 13:00:00,New York,PA,176.1,3.616,636.78,FC730436
FUEL00000021,TRIP00040092,TRK00096,DRV00024,2023-05-31 03:00:00,Phoenix,IL,158.1,4.194,663.07,FC100858
FUEL00000022,TRIP00029869,TRK00113,DRV00070,2023-01-18 08:00:00,Salt Lake City,NC,130.5,3.336,435.35,FC203278
FUEL00000023,TRIP00061721,TRK00012,DRV00146,2024-03-04 01:00:00,Salt Lake City,CO,104.2,3.572,372.2,FC613782
FUEL00000024,TRIP00019599,TRK00051,,2022-09-09 08:00:00,Detroit,NY,94.6,4.987,471.77,FC397584
FUEL00000025,TRIP00052921,TRK00045,DRV00058,2023-11-14 13:00:00,Philadelphia,GA,58.5,3.811,222.94,FC344307
FUEL00000026,TRIP00061721,TRK00012,DRV00146,2024-03-07 00:00:00,Memphis,TN,189.4,3.638,689.04,FC964791
FUEL00000027,TRIP00018973,TRK00038,DRV00102,2022-09-01 16:00:00,Seattle,OR,54.1,4.8,259.68,FC704288
FUEL00000028,TRIP00015345,TRK00068,DRV00055,2022-07-16 16:00:00,Charlotte,MN,165.1,4.559,752.69,FC896091
FUEL00000029,TRIP00054665,TRK00059,DRV00045,2023-12-06 23:00:00,Chicago,TN,199.1,3.407,678.33,FC357545
FUEL00000030,TRIP00044998,TRK00057,DRV00108,2023-08-02 13:00:00,Memphis,TX,50.9,3.726,189.65,FC116708
FUEL00000031,TRIP00018207,TRK00090,DRV00080,2022-08-21 07:00:00,Milwaukee,NE,188.1,4.596,864.51,FC168101
FUEL00000032,TRIP00057067,TRK00091,DRV00143,2024-01-07 14:00:00,Atlanta,PA,108.7,3.43,372.84,FC755223
FUEL00000033,TRIP00046884,TRK00035,DRV00082,2023-08-25 08:00:00,Omaha,IN,177.2,4.239,751.15,FC251050
FUEL00000034,TRIP00056661,TRK00001,DRV00058,2023-12-31 07:00:00,Detroit,OR,79.4,3.464,275.04,FC240285
FUEL00000035,TRIP00075174,TRK00113,DRV00108,2024-08-23 02:00:00,Dallas,UT,126.6,3.731,472.34,FC872450
FUEL00000036,TRIP00007316,TRK00092,DRV00149,2022-04-06 10:00:00,Seattle,OR,179.8,4.768,857.29,FC998728
FUEL00000037,TRIP00038490,TRK00078,DRV00110,2023-05-11 19:00:00,Atlanta,GA,174.7,4.07,711.03,FC496202
FUEL00000038,TRIP00036457,,DRV00020,2023-04-12 11:00:00,Indianapolis,TN,138.4,3.42,473.33,FC800413
FUEL00000039,TRIP00061302,TRK00008,DRV00111,2024-02-29 05:00:00,Seattle,AZ,97.7,3.939,384.84,FC111516
FUEL00000040,TRIP00074642,TRK00103,DRV00101,2024-08-16 22:00:00,Miami,OR,174.1,3.764,655.31,FC356179
FUEL00000041,TRIP00016576,TRK00058,DRV00112,2022-07-31 04:00:00,Salt Lake City,IL,70.6,3.648,257.55,FC595786
FUEL00000042,TRIP00074788,TRK00039,,2024-08-19 15:00:00,New York,WA,80.0,3.633,290.64,FC376413
FUEL00000043,TRIP00012164,TRK00023,DRV00111,2022-06-09 00:00:00,Salt Lake City,IN,134.2,4.827,647.78,FC180869
FUEL00000044,TRIP00018410,TRK00099,DRV00056,2022-08-23 02:00:00,Indianapolis,MI,110.8,4.162,461.15,FC238570
FUEL00000045,TRIP00073601,TRK00010,DRV00035,2024-08-03 11:00:00,Memphis,IN,197.9,3.781,748.26,FC800411
FUEL00000046,TRIP00040899,TRK00106,DRV00108,2023-06-11 16:00:00,Dallas,NY,90.0,3.67,330.3,FC323918
FUEL00000047,TRIP00072984,TRK00078,DRV00020,2024-07-27 13:00:00,Portland,FL,150.8,3.53,532.32,FC988619
FUEL00000048,TRIP00022762,TRK00049,DRV00099,2022-10-17 16:00:00,Seattle,GA,158.3,3.617,572.57,FC711846
FUEL00000049,TRIP00034709,TRK00107,DRV00087,2023-03-20 06:00:00,Chicago,GA,191.2,3.67,701.7,FC685996
FUEL00000050,TRIP00058321,TRK00086,DRV00029,2024-01-23 19:00:00,Houston,MO,146.1,3.893,568.77,FC376202
