trailer_id,trailer_number,trailer_type,length_feet,model_year,vin,acquisition_date,status,current_location
TRL00001,4290,Refrigerated,53,2016,1AV889081755621178,2018-05-11,Active,Kansas City
TRL00002,8848,Dry Van,53,2018,1BU942062588832828,2018-11-24,Active,Kansas City
TRL00003,6147,Dry Van,53,2022,1AV669057807416326,2019-01-28,Active,Milwaukee
TRL00004,3910,Dry Van,53,2024,1AV544000060905105,2018-08-27,Active,New York
TRL00005,7524,Dry Van,53,2016,1AV170126369813275,2019-11-22,Active,Las Vegas
TRL00006,6228,Refrigerated,53,2023,1BV247166900716104,2020-04-27,Active,Los Angeles
TRL00007,5775,Dry Van,53,2015,1AU542428020643035,2016-03-15,Active,Indianapolis
TRL00008,9044,Refrigerated,53,2020,1CV458098594511128,2019-04-23,Active,Oklahoma City
TRL00009,4971,Dry Van,53,2020,1BU184087873073667,2021-05-14,Active,Kansas City
TRL00010,6339,Refrigerated,53,2017,1AT967110002225980,2015-04-11,Active,Los Angeles
TRL00011,7161,Dry Van,53,2021,1CT218958376680556,2017-06-21,Active,Detroit
TRL00012,5592,Refrigerated,53,2024,1AU453568004465492,2018-06-02,Active,Los Angeles
TRL00013,7437,Refrigerated,53,2021,1BT503394220153331,2020-06-07,Active,Los Angeles
TRL00014,6980,Dry Van,53,2020,1AU621680936845604,2021-09-19,Active,Charlotte
TRL00015,2865,Dry Van,53,2023,1BT277455552123591,2016-06-04,Active,Philadelphia
TRL00016,4273,Refrigerated,53,2017,1CU893430037763044,2018-09-09,Active,Kansas City
TRL00017,9939,Refrigerated,53,2022,1CV342090299821561,2019-02-04,Active,Philadelphia
TRL00018,3947,Dry Van,53,2016,1BT900689669913238,2017-04-23,Active,Omaha
TRL00019,1440,Refrigerated,53,2015,1AU678104299898602,2017-06-19,Active,Miami
TRL00020,8563,Dry Van,53,2024,1AV392922348065594,2017-08-25,Active,Indianapolis
TRL00021,4434,Refrigerated,53,2016,1AT555304982338161,2021-08-10,Active,Philadelphia
TRL00022,8183,Dry Van,53,2015,1BV719380446728636,2015-06-19,Active,Denver
TRL00023,5773,Dry Van,53,2019,1AT214737740805998,2015-08-03,Active,Milwaukee
TRL00024,2133,Refrigerated,53,2018,1AT169432492661737,2019-11-16,Active,Las Vegas
TRL00025,7703,Dry Van,53,2015,1AT519104629229467,2018-02-26,Active,Detroit
TRL00026,9180,Refrigerated,53,2015,1CV825853499877527,2019-07-06,Active,Phoenix
TRL00027,3280,Refrigerated,53,2021,1AV391407458459892,2016-01-04,Active,Chicago
TRL00028,5961,Refrigerated,53,2023,1AT172589230078114,2016-09-01,Active,Columbus
TRL00029,4965,Dry Van,53,2019,1AV203556509629346,2017-12-25,Active,Charlotte
TRL00030,5139,Refrigerated,53,2023,1BT157013375845228,2016-04-25,Active,Philadelphia
TRL00031,3525,Dry Van,53,2021,1AV544729795038430,2018-08-21,Active,Milwaukee
TRL00032,7932,Dry Van,53,2021,1BT869230286524026,2020-02-05,Active,Charlotte
TRL00033,7176,Dry Van,53,2021,1BT341748049397369,2015-09-29,Active,Seattle
TRL00034,2211,Refrigerated,53,2016,1AU602164483247170,2019-12-22,Active,Houston
TRL00035,8357,Refrigerated,53,2023,1AT797131664283297,2018-09-16,Active,Atlanta
TRL00036,8851,Dry Van,53,2023,1CT432261450058115,2020-11-28,Active,Atlanta
TRL00037,7566,Dry Van,53,2024,1BU720020975388369,2016-09-21,Active,Nashville
TRL00038,9755,Dry Van,53,2017,1BT414997573217125,2020-07-26,Active,Dallas
TRL00039,9300,Dry Van,53,2019,1BT324568460638524,2019-02-07,Active,Los Angeles
TRL00040,7853,Dry Van,53,2016,1CV810165322540460,2015-09-26,Active,Memphis
TRL00041,9907,Refrigerated,53,2019,1CT530656325258784,2019-12-14,Active,Nashville
TRL00042,1602,Refrigerated,53,2016,1CU713074281994608,2018-03-29,Active,Charlotte
TRL00043,6890,Dry Van,53,2023,1BU736870260503400,2021-01-01,Active,New York
TRL00044,9796,Refrigerated,53,2018,1CU404484784600217,2019-07-06,Active,Dallas
TRL00045,2392,Refrigerated,53,2017,1AT772292600411615,2018-01-07,Active,Omaha
TRL00046,2791,Refrigerated,53,2023,1AT416301915343103,2019-07-02,Active,Indianapolis
TRL00047,5067,Refrigerated,53,2020,1AU502432119594989,2018-07-24,Active,Dallas
TRL00048,6816,Dry Van,53,2021,1CT279722794745493,2017-04-15,Active,Oklahoma City
TRL00049,3725,Dry Van,53,2024,1AT371513473795138,2018-04-15,Active,Oklahoma City
TRL00050,1725,Refrigerated,53,2016,1BV990857032519779,2017-11-01,Active,Los Angeles
